customer_id,total_orders,avg_order_value,avg_rating,ratings_given
000285ae83ecf06a92b936d4f5b74342edb0e1940e1f00e2d43d28dac93a034e,3,453.59999999999997,5.0,1.0
00062fa202370fdd3076b794ec9358f36e35469bb8e5ff60fa06e93c9663f69c,1,628.95,,
001ab5fc3ee158b4d22e106897cee9b355e6eed50f163e65265a5f01fa426b54,1,1332.4,,
001fdf2511dd137361424c9c15ea54774476691ceec5fa2943b314ae0e9fd536,1,1352.4,,
002afbd83626f0c699892fcb07b2ddf3858911482647b6111ecb44ed50fb6d5e,4,805.6225000000001,,
00360c54a3538e702016303eb89a7c09b0b184505de31168a46d7afad24bdf70,3,673.0500000000001,,
00361e4d62dc6d26377686ba86320049f2e3d76da874fc01a9a1c2ba2d09c14a,1,512.4,,
003671a5324f53acf8b069976c75046e0bc7a29bc23fcc10ba33bc44aec2260a,2,1042.125,,
003790548bf63fa83febbbe45e9cfa3f41797028110c548fc839411be4903619,1,478.8,,
0040ddf9a39d33759d0a37718cddc2f152b0c616bfb458f59951b696bc275e9a,1,900.9,,
0047df9b7779533e6ca90f68c85e74a6de814a3ad5eb6ef66e9f02ef59f62c82,1,145.95,,
004deb39e1d1f81415b145992fa5c50654e48e72b682232f4144951746feddbc,1,628.95,,
0053e678a098e34efed85bea255c00744929e631f6f39b57f68923296088c24f,1,752.03,,
00561b299644e5dbeeecc990e8a7661a5a1591c16e1882ccb1a442cdcb85b191,1,425.25,,
0056a6c4dbe87d35717d9bcaa9aaa5533d9d23e0ef8a7480c3bf1a89b8132c0a,1,1069.95,,
005d4e9d4161f568f7c1236703e7820e067f812064db4f5706c1020b460293a3,1,586.95,,
0066dd90a762676039b39722ae22fa21f9d69276d300ef3d4d821a8ff05272b5,5,496.65,,
0068aef7810f3089585d167e93357fd6a8ea994c2cb1478530c93866f9e6812c,1,334.95,,
006a90bbae38e8543ed8c5209e89d65f9c38b1df07511ed5eba41df9d0ba7f7a,2,394.53999999999996,,
006db245507d81238f94ee36ffed17d61a853f83f0287c9ac857f0b6c5f6d1d2,1,1040.5,,
0071cedfbbec4b2329cf747540858cc1c8678bdc3bfa7cb0184819809bb8ec72,1,229.95,,
0074a45176f83051003900f910d46dd1c12dc8973c9ef0909001bf1bbef031f2,1,388.5,,
0075fd932e9c3b880c370e2ca2e6303d70cc46696b4293e911db681faa55abc2,5,1290.8700000000001,,
0076a4110d5c9835d54879252b588859738886e02ef963deb5d6c2ec429efa66,1,236.25,,
008795a0df36218c5edafd177556fc4b9e799b9037ee04d01a182bad5c211247,1,220.5,,
0092e77acf83f93e36255891191404b7313cd142af21085f9d8211964e4fa928,1,1069.01,,
00934774fcde9e500bcdc18ab24b176a96664c4d55ec728f40a07649a6f79d84,1,324.4,,
0093c3d9f4ce7e2e66720b1893efd670fc88607104ab04a571818550dbf975a7,1,869.19,,
00970ac576a61ad811766a1529fa6f3233450dd17d194f9a2b2d3739b7e2f239,1,597.45,,
00ab29271100c1f290fe2548720ecc7070d305e7f07d435ae2492cdb85c848da,1,700.35,,
00b0a76e1dd61f54c4012b37e86b080d3b4d08311f547290ec7151a4ba3b7770,1,628.95,,
00c75a1681297897363f5a4ea9986c64ada8ccb08f38002b4e35488625d884e4,1,729.75,,
00c930e8b84a2325c8a0c209ee4907a2a622ed2f4dd4210b0e00bb205e538578,4,378.0,,
00d045d71fd85a2a645278983da305a046301923777dac4c83de1695237a0366,1,614.25,,
00d3ca94468f2d1fb506d8ecdccf18d71eb1922239a1902bdcf32a0607b753c3,2,994.875,5.0,1.0
00db5dee81e47a35bf18c89f8ae58d3505ecff10f1b3a89882791cd812d0caf5,2,1387.575,,
00e32123885c53573c65d2426b10b19b17cbccf234dca23cc7a1a9a0ffbb5e4f,2,432.6,,
00f319a1a9153e59e2d42992a551dcc6c912dfc32dd508e258be9031ba7ce380,1,910.35,5.0,1.0
0101f0cfc46cfc9dfbf9903a8d8aa069eb4481991cf9379675a37059dbd7a961,6,501.81333333333333,,
0106ca441d4c1b395a900b6c02c8090063e967059adc824709cb8830a03b9714,1,607.95,,
0107926cbe4063f039a9e5db4f814bd231a9004c536da982eed0126e94096228,1,525.0,,
0118457fa0fa7922e31e0c3d56db94ec4e3a0d5620d8e37e30dc62b4df73e5c1,1,403.2,,
011ce568a7667d505ec85d058beb76cdfdadfdc55dfa32ca382bd8b86e5223dd,3,959.6999999999999,,
0124c703400c98ddc71ec039b625b3b7bb5d2a831efb9beae7ba73585691af5d,3,354.3766666666667,,
0129e78658980e3fad287a8adb3258d4dc9d17fcdb0e9fae223922fa3068a35b,1,576.45,,
013135e30653501a3447d17a5ee194580bafa44d43b0830e57bd0ab28c865162,1,1162.35,5.0,1.0
013e45493ca3369fe873faad27d720094649751184294dfb52a254bffbd3a045,2,559.65,,
015373a571a666688e5351aa0b9c885d17ee111f15b63ad9ecaaf8878c9c71f5,1,2156.7,,
